primary_language,Quantidade
Python,189
TypeScript,156
JavaScript,130
Go,73
Java,50
C++,48
Rust,44
C,25
Jupyter Notebook,22
Shell,19
HTML,19
C#,12
Ruby,12
Kotlin,11
Swift,9
CSS,8
Vue,7
PHP,7
Dart,5
Markdown,5
MDX,5
Clojure,4
Vim Script,4
Zig,3
Dockerfile,3
Scala,2
Assembly,2
Makefile,2
Batchfile,2
Roff,2
Lua,2
Haskell,2
Svelte,2
TeX,2
V,1
Objective-C,1
Elixir,1
LLVM,1
Julia,1
PowerShell,1
Blade,1
Nunjucks,1
SCSS,1
